english|french
ice troll grunt|Troll de glace grognon
ice troll king|Roi des trolls des glaces
ice troll male|Troll de glace mâle
ice troll runt|Troll des glaces nain
ice warrior|Guerrier des glaces
ice wolf|Loup des glaces
iceberg|Iceberg
icefiend|Démon des glaces
icelord|Seigneur des glaces
ichta|Ichta
icicle|Glaçon
icicles|Glaçons
icthlarin|Icthlarin
ictus|Ictus
ide|Ide
idria|Idria
idril|Idril
idris|Idris
ifaba|Ifaba
iffie|Iffie
ignatius vulcan|Ignatius Vulcan
ignisia|Ignisia
iguana|Iguana
ikkle hydra|Ikkle hydra
ikniu|Ikniu
ileana|Ileana
ilfeen|Ilfeen
ima|Ima
imerominia|Imerominia
imia|Imia
imiago|Imiago
imin|Imin
iminye|Iminye
immenizz|Immenizz
imp|Imp
imp champion|Imp Champion
imp defender|Imp defender
imre|Imre
indis|Indis
infernal mage|Infernal Mage
infernal pyrelord|Infernal pyrelord
information clerk|Information clerk
inga|Inga
ingrid|Ingrid
ingrid hradson|Ingrid Hradson
ingwe|Ingwe
ingwion|Ingwion
injured tortugan|Injured Tortugan
inn keeper|Aubergiste
innocent-looking key|Clé à l'apparence innocente
insatiable bloodveld|Bloodveld insatiable
insatiable mutated bloodveld|Bloodveld mutant insatiable
intruder|Intrus
invrigar the necromancer|Invrigar le nécromancien
iona|Iona
iorwerth archer|Archer d'Iorwerth
iorwerth warrior|Guerrier d'Iorwerth
irena|Irena
irene|Irene
irina|Irina
irksol|Irksol
iron bill|Iron Bill
iron dragon|Dragon de fer
iron ore|Minerai de fer
ironman tutor|Tuteur Ironman
irvig senay|Irvig Senay
irwin feaselbaum|Irwin Feaselbaum
isadora|Isadora
ish the navigator|Ish le Navigateur
ishmael|Ishmael
islwyn|Islwyn
istoria|Istoria
ithoi the navigator|Ithoi le Navigateur
ivan|Ivan
ivan strom|Ivan Strom
ivy|Ivy
ivy sophista|Ivy Sophista
iwan|Iwan
iwazaru|Iwazaru
izel|Izel
jabari|Jabari
jack|Jack
jack frost|Jack Frost
jack lantern mask|Masque de Jack-o'-lanterne
jack sails|Jack Sails
jack seagull|Jack Seagull
jackal|Jackal
jacky jester|Jacky Jester
jacobm7|JacobM7
jade|Jade
jadid|Jadid
jagbakoba|Jagbakoba
jaguar|Jaguar
jaguar cub|Bébé jaguar
jaguar egg|Œuf de jaguar
jaguar spirit|Esprit jaguar
jaguar warrior|Guerrier jaguar
jail guard|Gardien de prison
jailer|Bourreau
jake|Jake
jal-ak|Jal-Ak
jal-akrek-ket|Jal-AkRek-Ket
jal-akrek-mej|Jal-AkRek-Mej
jal-akrek-xil|Jal-AkRek-Xil
jal-imkot|Jal-ImKot
jal-mejjak|Jal-MejJak
jal-mejrah|Jal-MejRah
jal-nib|Jal-Nib
jal-nib-rek|Jal-nib-rek
jal-xil|Jal-Xil
jal-zek|Jal-Zek
jaltok-jad|JalTok-Jad
james|James
jamila|Jamila
jane|Jane
jaraah|Jaraah
jardric|Jardric
jari|Jari
jarr|Jarr
jarvald|Jarvald
jasper|Jasper
jatix|Jatix
jatziri, teoki of ralos|Jatziri, Teoki de Ralos
javelin colossus|Javelin Colossus
jayene kliyn|Jayene Kliyn
jeb|Jeb
jeed|Jeed
jeff|Jeff
jelly|Jelly
jennella|Jennella
jennifer|Jennifer
jenny blade|Jenny Blade
jerboa|Jerboa
jeremy clerksin|Jeremy Clerksin
jerico|Jerico
jess|Jess
jessamine|Jessamine
jessie|Jessie
jethick|Jethick
jewelled crab|Jewelled Crab
jex|Jex
jhallan|Jhallan
jig cart|Chariot à gabarit
jill|Jill
jim|Jim
jiminua|Jiminua
jimmy|Jimmy
jimmy dazzler|Jimmy Dazzler
jimmy the chisel|Jimmy le Ciseau
jittery jim|Jim nerveux
jobless jim|Jim le chômeur
joe|Joe
jofridr mordstatter|Jofridr Mordstatter
jogre|Jogre
jogre champion|Champion Jogre
johanhus ulsbrecht|Johanhus Ulsbrecht
john|John
johnathon|Johnathon
joint-chief mouser to the shipyard office|Chef adjoint Mouser au bureau du chantier naval
jokul|Jokul
jolly jim|Jolly Jim
jon|Jon
jonathan|Jonathan
jonny the beard|Jonny la Barbe
jorra|Jorra
jorral|Jorral
jorzik|Jorzik
joseph|Joseph
joshua|Joshua
jossik|Jossik
joyfuljudy02|JoyfulJudy02
juatil|Juatil
jubbly bird|Jubbly bird
jubster|Jubster
judge of yama|Juge de Yama
jug|Jug
jukat|Jukat
julia|Julia
julie|Julie
juliet|Juliet
jumaane|Jumaane
jumbo jim|Jumbo Jim
juna|Juna
jungle demon|Démon de la jungle
jungle eagle|Aigle de la jungle
jungle forester|Forestier de la jungle
jungle horror|Horreur de la jungle
jungle spider|Araignée de la jungle
jungle wolf|Loup de la jungle
junior jim|Junior Jim
junior navigator|Junior Navigator
jury|Jury
justiciar zachariah|Justiciar Zachariah
justin servil|Justin Servil
justine|Justine
juvenile custodian stalker|Juvenile custodian stalker
jyn|Jyn
k'klik|K'klik
k'ril tsutsaroth|K'ril Tsutsaroth
kaal-ket-jor|Kaal-Ket-Jor
kaal-mej-san|Kaal-Mej-San
kaal-xil-dar|Kaal-Xil-Dar
kael forshaw|Kael Forshaw
kaht b'alam|Kaht B'alam
kai|Kai
kaleb paramaya|Kaleb Paramaya
kali|Kali
kalko|Kalko
kalphite guardian|Gardien kalphite
kalphite larva|Larve kalphite
kalphite princess|Princesse kalphite
kalphite queen|Reine kalphite
kalphite soldier|Soldat kalphite
kalphite worker|Ouvrier kalphite
kalrag|Kalrag
kalron|Kalron
kamen|Kamen
kamfreena|Kamfreena
kamil|Kamil
kanel|Kanel
kangai mau|Kangai Mau
kaqemeex|Kaqemeex
karaday|Karaday
karam|Karam
karamel|Karamel
karamjan tiger shark|Requin tigre de Karamjan
karamthulhu|Karamthulhu
kardia|Kardia
karil the tainted|Karil le Corrompu
karim|Karim
karl|Karl
kasonde|Kasonde
kasonde the craven|Kasonde le Lâche
kaston|Kaston
kathy corkat|Kathy Corkat
katrine|Katrine
kauayotl|Kauayotl
kaylee|Kaylee
kazemde|Kazemde
kazgar|Kazgar
kebba|Kebba
kebbit|Kebbit
keef|Keef
keepa kettilon|Keepa Kettilon
keith|Keith
kelvin|Kelvin
kelyn|Kelyn
kendall|Kendall
kenelme|Kenelme
kennith|Kennith
kent|Kent
kephri|Kephri
kephri's phantom|Fantôme de Kephri
ket'sal k'uk|Ket'sal K'uk
ket-zek|Ket-Zek
ketla|Ketla
ketla the unworthy|Ketla l'Indigne
key master|Maître des clés
kgp agent|Agent KGP
kgp guard|Garde KGP
kharazi monodon|Kharazi monodon
kharid scorpion|Scorpion de Kharid
kharrim|Kharrim
khazard barman|Barman de Khazard
khazard commander|Commandant de Khazard
khazard guard|Garde de Khazard
khazard launderer|Blanchisseur de Khazard
khazard ogre|Ogre de Khazard
khazard scorpion|Scorpion de Khazard
khazard soldier|Soldat de Khazard
khazard trooper|Soldat de Khazard
khazard warlord|Seigneur de guerre de Khazard
khorvak, a dwarven engineer|Khorvak, ingénieur nain
kikazaru|Kikazaru
killer|Tueur
killerwatt|Killerwatt
kilron|Kilron
kimba|Kimba
kineer|Kineer
king|Roi
king arthur|Roi Arthur
king black dragon|Roi Black Dragon
king bolren|Roi Bolren
king bolrie|Roi Bolrie
king gjuki sorvott iv|Roi Gjuki Sorvott IV
king healthorg|Roi Healthorg
king kurask|Roi Kurask
king lathas|Roi Lathas
king narnode shareen|Roi Narnode Shareen
king rat|Roi Rat
king roald|Roi Roald
king sand crab|Roi Sand Crab
king scorpion|Roi Scorpion
king snagwort|Roi Snagwort
king thoros|Roi Thoros
king vargas|Roi Vargas
king's messenger|Messager du roi
kit breaker|Kit Breaker
kitten|Chaton
kiyahtla|Kiyahtla
kjedelig uppsen|Kjedelig Uppsen
kjut|Kjut
klank|Klank
klarense|Klarense
klaus|Klaus
klenter|Klenter
knight|Chevalier
knight of ardougne|Chevalier d'Ardougne
knight of saradomin|Chevalier de Saradomin
knight of the lion|Chevalier du Lion
knight of the owl|Chevalier du Hibou
knight of the unicorn|Chevalier de la Licorne
knight of the wolf|Chevalier du Loup
knight of varlamore|Chevalier de Varlamore
koanee|Koanee
kob|Kob
koftik|Koftik
kolodion|Kolodion
konar quo maten|Konar quo Maten
konoo|Konoo
korgan|Korgan
kormar quo maten|Kormar quo Maten
kortan|Kortan
koschei the deathless|Koschei l'immortel
kovac|Kovac
kragen|Kragen
kragin|Kragin
kraka|Kraka
kraken|Kraken
krato|Krato
kree'arra|Kree'arra
kroy|Kroy
kruk|Kruk
kryket bat|Chauve-souris Kryket
krystilia|Krystilia
ksenia|Ksenia
kualti|Kualti
kuradal|Kuradal
kurask|Kurask
kurt|Kurt
kylie minnow|Kylie Minnow
lacey|Lacey
lady carys hefin|Lady Carys Hefin
lady crombwick|Lady Crombwick
lady ffion meilyr|Lady Ffion Meilyr
lady keli|Lady Keli
lady nadezhda shadum|Lady Nadezhda Shadum
lady servil|Lady Servil
lady shauna piscarilius|Lady Shauna Piscarilius
lady table|Lady Table
lady tangwen trahaearn|Lady Tangwen Trahaearn
lady vulcana lovakengj|Lady Vulcana Lovakengj
lahsram|Lahsram
laidee gnonock|Laidee Gnonock
lalli|Lalli
lamb|Lamb
lammy langle|Lammy Langle
lan the butcher|Lan le boucher
lanthus|Lanthus
lanzig|Lanzig
large chicken|Grand poulet
large egg|Grand œuf
large mosquito|Grand moustique
large reef shark|Grand requin de récif
large tendril|Grande vrille
large zombie monkey|Grand singe zombie
larran|Larran
larrissa|Larrissa
larry|Larry
larry leprechaun|Larry Leprechaun
larxus|Larxus
lasenna rasputin|Lasenna Rasputin
lassin|Lassin
latlink fastbell|Latlink Fastbell
launa|Launa
lauretta|Lauretta
lava beast|Bête de lave
lava dragon|Dragon de lave
lava strykewyrm|Lava Strykewyrm
lavinia|Lavinia
layleen|Layleen
lazim|Lazim
lazy cat|Chat paresseux
lazylaura94|LazyLaura94
le-sabrè|Le-sabrè
lead navigator|Navigateur en chef
lead ore|Minerai de plomb
league navigator|Navigateur de ligue
league tutor|Tuteur de ligue
leagues assistant|Assistant de ligue
leagues tutor|Tuteur des ligues
leatherworker|Maroquinier
lector gura|Lector Gura
leech|Sangsue
leech display|Affichage des sangsues
leela|Leela
leenz|Leenz
leff|Leff
legends' guard|Garde des légendes
leke quo keran|Leke quo Keran
lelia|Lelia
lennissa|Lennissa
lenny|Lenny
lensa|Lensa
lenwe|Lenwe
lenyig karna|Lenyig Karna
leo|Leo
leon|Leon
leon d'cour|Leon d'Cour
lesser demon|Démon mineur
lesser demon champion|Champion démon mineur
lesser fanatic|Fanatique mineur
lesser ghostly thrall|Esclave fantomatique mineur
lesser skeletal thrall|Esclave squelettique mineur
lesser zombified thrall|Esclave zombifié mineur
lev|Lev
li'l lamb|Petit agneau
liam|Liam
librarian|Bibliothécaire
lidio|Lidio
lieutenant|Lieutenant
lieutenant schepbur|Lieutenant Schepbur
lieve mccracken|Lieve McCracken
light creature|Créature de lumière
light leech|Sangsue de lumière
lightning cloud|Nuage de foudre
lil' creator|Petit créateur
lil' zik|Petit zik
lil'viathan|Lil'viathan
lilifang|Lilifang
liliwen|Liliwen
liliya|Liliya
lillia|Lillia
lilly|Lilly
lindir|Lindir
ling|Ling
lisa|Lisa
lisse isaakson|Lisse Isaakson
litara|Litara
lithil|Lithil
litlihui, teoki of ralos|Litlihui, Teoki de Ralos
little mo|Little Mo
little monster|Petit monstre
little nightmare|Petit cauchemar
livius|Livius
lizard|Lézard
lizard display|Exposition de lézards
lizard man|Homme lézard
lizardman|Homme-lézard
lizardman brute|Brute homme-lézard
lizardman shaman|Chaman homme-lézard
lleidr golau|Lleidr Golau
lliann|Lliann
llio|Llio
loading crane|Grue de chargement
loar shade|Ombre de Loar
lobstrosity|Lobstrosity
local gnome|Gnome local
locke mcscruff|Locke McScruff
locked|Verrouillé
locust|Locuste
locust rider|Cavalier locuste
lofu|Lofu
logava|Logava
logios|Logios
logosia|Logosia
loinur|Loinur
lokar searunner|Lokar Searunner
loki|Loki
lokraa quo sihar|Lokraa quo Sihar
lola|Lola
lollk|Lollk
long-tailed wyvern|Wyvern à longue queue
longbow ben|Longbow Ben
longhall bouncer|Longhall Bouncer
longramble|Longramble
look-out|Look-out
looming shadow|Ombre menaçante
lord alexei jovkai|Seigneur Alexei Jovkai
lord baxtorian cadarn|Seigneur Baxtorian Cadarn
lord crombwick|Seigneur Crombwick
lord daquarius|Seigneur Daquarius
lord iestin iorwerth|Seigneur Iestin Iorwerth
lord ieuan amlodd|Seigneur Ieuan Amlodd
lord iorwerth|Seigneur Iorwerth
lord kandur hosidius|Seigneur Kandur Hosidius
lord marshal brogan|Seigneur Marshal Brogan
lord mischa myrmel|Seigneur Mischa Myrmel
lord piquan crwys|Seigneur Piquan Crwys
lord rologarth|Seigneur Rologarth
lord shiro shayzien|Seigneur Shiro Shayzien
lord trobin arceuus|Seigneur Trobin Arceuus
lorelai|Lorelai
lornor quo narga|Lornor quo Narga
lorraine|Lorraine
lost barbarian|Barbare perdu
lost camphor crate|Caisse de camphre perdue
lost casket|Cercueil perdu
lost ironwood crate|Caisse en bois de fer perdue
lost mahogany crate|Caisse en acajou perdue
lost oak crate|Caisse en chêne perdue
lost soul|Âme perdue
lost teak crate|Caisse en teck perdue
lost wooden crate|Caisse en bois perdue
louie legs|Louie Legs
louisa|Louisa
lovada|Lovada
lovakengj engineer|Ingénieur Lovakengj
love|Love
love cats|Love Cats
lowe|Lowe
lowerniel drakan|Lowerniel Drakan
lubufu|Lubufu
lucas|Lucas
lucia|Lucia
lucien|Lucien
lucius|Lucius
lucky impling|Lucky impling
lucrezia|Lucrezia
lucy|Lucy
luke|Luke
lumberjack leif|Lumberjack Leif
lumbridge guide|Lumbridge Guide
lumdo|Lumdo
lumiere|Lumiere
luminata|Luminata
lumo|Lumo
luna|Luna
lunami|Lunami
lundail|Lundail
lunderwin|Lunderwin
lurgon|Lurgon
luscion|Luscion
luthas|Luthas
lutwidge|Lutwidge
lux grub|Lux grub
lynx|Lynx
lynx tamer|Lynx Tamer
lyra|Lyra
mac|Mac
macaroni penguin|Macaroni Penguin
macaw|Macaw
mad melvin96|Mad melvin96
mad skavid|Mad skavid
madam sikaro|Madam Sikaro
madame caldarium|Madame Caldarium
madison|Madison
maedhros|Maedhros
maeglin|Maeglin
mag|Mag
mage|Mage
mage of zamorak|Mage of Zamorak
magic axe|Hache magique
magic combat tutor|Tuteur de combat magique
magic instructor|Instructeur de magie
magic mark|Marque magique
magma strykewyrm|Magma strykewyrm
magnus gram|Magnus Gram
magpie impling|Magpie impling
mahtan|Mahtan
maid|Servante
mairin|Mairin
maisa|Maisa
major attack|Attaque majeure
major collect|Collecte majeure
major defend|Défense majeure
major heal|Soin majeur
makeover mage|Mage transformateur
mako|Mako
malak|Malak
malcolm|Malcolm
male amur leopard|Léopard d'Amour mâle
male lion|Lion mâle
male slave|Esclave mâle
male snow leopard|Léopard des neiges mâle
male tiger|Tigre mâle
malevolent mage|Mage malveillant
malignius mortifer|Malignius Mortifer
mallak quo keran|Mallak quo Keran
mama|Mama
mamma bufetta|Mamma Bufetta
mammoth|Mammouth
man|Homme
manauia|Manauia
mandrith|Mandrith
mandy|Mandy
maniacal monkey|Singe maniaque
maniacal monkey archer|Singe archer maniaque
manni the reveller|Manni le fêtard
manta ray|Raie manta
manticore|Manticore
marble gargoyle|Gargouille en marbre
marcellus|Marcellus
marcus|Marcus
marfet|Marfet
maria gadderanks|Maria Gadderanks
maria gunnars|Maria Gunnars
mariah|Mariah
marika|Marika
marina kebbit-monkfish|Marina Kebbit-Monkfish
marionette set|Ensemble de marionnettes
marisi|Marisi
marissa|Marissa
marius|Marius
marius giste|Marius Giste
mark|Mark
market guard|Garde du marché
market seller|Vendeur du marché
markog|Markog
marla|Marla
marley|Marley
marlo|Marlo
marm|Marm
marmor quo narga|Marmor quo Narga
marsha|Marsha
marten|Marten
martha rehnison|Martha Rehnison
martin holt|Martin Holt
martin the master gardener|Martin le maître jardinier
martin thwait|Martin Thwait
martina scorsby|Martina Scorsby
marv|Marv
marwolaeth dawnsio|Marwolaeth Dawnsio
mary|Mary
masked figure|Personnage masqué
master chef|Maître cuisinier
master crafter|Maître artisan
master farmer|Maître fermier
master fisher|Maître pêcheur
master navigator|Maître navigateur
master smithing tutor|Maître forgeron
matilda|Matilda
matthew|Matthew
matthias|Matthias
mattimeo|Mattimeo
mature custodian stalker|Stalker gardien mature
mawnis burowgar|Mawnis Burowgar
mawrth|Mawrth
mayor hobb|Maire Hobb
maz|Maz
mazchna|Mazchna
maze guardian|Gardien du labyrinthe
mazion|Mazion
me|Moi
me?|Moi ?
meat tree|Arbre à viande
meaty aura logist|Aura charnue Logist
meddwl ymlaen llaw|Meddwl Ymlaen Llaw
medium barrier|Barrière moyenne
medium catalytic guardian|Gardien catalytique moyen
medium elemental guardian|Gardien élémentaire moyen
medium ninja monkey|Singe ninja moyen
meegle|Meegle
megan|Megan
mehhar|Mehhar
meiyerditch citizen|Citoyen de Meiyerditch
meiyerditch miner|Mineur de Meiyerditch Levele Chauve
mekritus a'hara|Mekritus A'hara
melana moonlander|Melana Moonlander
melee combat tutor|Tuteur de combat au corps à corps
meleti|Meleti
melina|Melina
melvin|Melvin
melzar the mad|Melzar le Fou
memory of seren|Mémoire de Seren
menaphite akh|Menaphite Akh
menaphite guard|Garde menaphite
menaphite leader|Chef menaphite
menaphite shadow|Ombre menaphite
menaphite thug|Voyou menaphite
mercenary|Mercenaire
mercenary axeman|Mercenaire hacheur
mercenary captain|Capitaine mercenaire
mercenary mage|Mercenaire mage
mercy|Miséricorde
meredith|Meredith
merlin|Merlin
mernia|Mernia
mernik|Mernik
merrymax2000|MerryMax2000
meskhenet|Meskhenet
messenger|Messager
metarialus|Metarialus
meteora|Meteora
metla|Metla
metzli, teokan of ranul|Metzli, Teokan de Ranul
meztlan|Meztlan
mi-gor|Mi-Gor
mia|Mia
miala|Miala
miazrqa|Miazrqa
mihail|Mihail
mike|Mike
mikey|Mikey
miles|Miles
milla|Milla
milli rehnison|Milli Rehnison
millie miller|Millie Miller
miltog|Miltog
mime|Mime
mimm|Mimm
mind golem|Golem mental
mine cart|Chariot de mine
mine cart driver|Conducteur de chariot de mine
mine supervisor|Superviseur de mine
miner|Mineur
miner magnus|Mineur Magnus
miniature chaotic clouds|Miniature nuages chaotiques
miniaturemarie|MiniatureMarie
minimus|Minimus Levele Régulier
mining instructor|Instructeur minier Levele 2020 Tutoriel
mining tutor|Tuteur minier
minotaur|Minotaure
miodvetnir|Miodvetnir
miriam|Miriam
miriel|Miriel
mirrorback araxyte|Araxyte miroir
mischievous ghost|Fantôme espiègle
misdrievus shadum|Misdrievus Shadum
mishkal'un dorn|Mishkal'un Dorn
miss cheevers|Mlle Cheevers
miss schism|Mlle Schism
mist|Brouillard
mistag|Mistag
mithrellas|Mithrellas
mithril dragon|Dragon mithril
mithril ore|Minerai de mithril
mittens|Mitaines
mizaru|Mizaru
mod freddie|Mod Freddie
moe|Moe
mofina|Mofina
moggy|Moggy
mogre|Mogre
mogre guard|Mogre Guard
mogrim|Mogrim
molanisk|Molanisk
moldof|Moldof
mole display|Mole display
molly|Molly
molossus|Molossus Levele Chou
monk|Moine
monk of entrana|Moine d'Entrana Levele 1
monk of zamorak|Moine de Zamorak
monkey|Singe
monkey archer|Singe archer
monkey child|Enfant singe
monkey display|Écran singe
monkey guard|Garde singe
monkey minder|Gardien de singe
monkey on cow|Singe sur vache
monkey on unicorn|Singe sur licorne
monkey zombie|Singe zombie
monolith|Monolithe
monstrous basilisk|Basilic monstrueux
moonlight antelope|Antilope au clair de lune
moonlight cockatrice|Cockatrice au clair de lune
moonlight moth|Papillon de nuit au clair de lune
mora|Mora
mord gunnars|Mord Gunnars
mordan nikazsi|Mordan Nikazsi
morgan|Morgan
morgan le faye|Morgane Le Faye
morgiana|Morgiana
mori|Mori
morris|Morris
mort nightshade|Mort Nightshade
mort'ton local|Habitant de Mort'ton
morten holdstrom|Morten Holdstrom
mortina daubenton|Mortina Daubenton
morvran|Morvran
mosol rei|Mosol Rei
mosquito swarm|Essaim de moustiques
moss giant|Géant de mousse
moss guardian|Gardien de mousse
moss lizard|Lézard de mousse
mosschin|Mosschin
most of a zombie|La plupart d'un zombie
mother|Mère
mother mallum|Mère Mallum
moths|Papillons de nuit
mountain dwarf|Nain des montagnes
mountain goat|Chèvre de montagne
mountain guide|Guide de montagne
mountain toucan|Toucan des montagnes
mountain troll|Troll des montagnes Level 69
mounted terrorbird gnome|Gnome chevauchant un oiseau de terreur Level 31
mounted terrorchick gnome|Gnome chevauchant un poussin de terreur
mourner|Mourner
mouse|Souris
movario|Movario
moxi|Moxi
mr face|M. Face
mr. mordaut|M. Mordaut
ms. hynn terprett|Mme Hynn Terprett
mubariz|Mubariz
mudskipper|Sauterelle
mugger|Agresseur
mummy|Momie
mummy ashes|Cendres de momie Levele 1
munty|Munty
muphin|Muphin Levele Mêlée
murcaily|Murcaily Levele Sans bâton
murfet|Murfet
murky matt|Murky Matt
murky pat|Murky Pat
murng bat|Murng bat
murphy|Murphy
muruwoi|Muruwoi
museum guard|Gardien du musée Levele Zone de nettoyage du musée
mushroom|Champignon
mutated bloodveld|Bloodveld mutant
mutated terrorbird|Oiseau de terreur mutant
mutated tortoise|Tortue mutante
muttadile|Muttadile
my arm|Mon bras
myndill|Myndill
myre blamish snail|Escargot de Myre Blamish
mysterious adventurer|Aventurier mystérieux
mysterious bandit|Bandit mystérieux
mysterious figure|Personnage mystérieux
mysterious glow|Mysterious glow
mysterious old man|Vieil homme mystérieux
mysterious stranger|Étranger mystérieux
mysterious voice|Mysterious Voice
mysterious watcher|Mysterious Watcher
mystery figure|Mystery figure
mystery fruit|Fruit mystérieux
naghead|Naghead
nahta|Nahta
naiatli|Naiatli
nail beast|Bête à clous
nakasa jovkai|Nakasa Jovkai
nardah banker|Banquier de Nardah
nardok|Nardok
narf|Narf
narwhal|Narval
nasty nick|Nasty Nick
natalidae shadum|Natalidae Shadum
nathifa|Nathifa
natural historian|Historien naturel
nature impling|Nature impling
nazastarool|Nazastarool
nechryael|Nechryael
nechryarch|Nechryarch
necromancer|Nécromancien
necrovarus|Necrovarus
necto|Necto
ned|Ned
neferti the camel|Neferti le Chameau
neil|Neil
neite|Neite
nellas|Nellas
nelta of ralos|Nelta de Ralos
nelta of ranul|Nelta de Ranul
nemishka|Nemishka
nenetl, teoki of ranul|Nenetl, Teoki de Ranul
nerdanel|Nerdanel
nesty|Nesty
netmaster kellan|Netmaster Kellan
nevet|Nevet après la rencontre
new recruit tony|Nouvelle recrue Tony
newtroost|Newtroost
nex|Nex
nexling|Nexling
nezikchened|Nezikchened
nezketi|Nezketi
nia|Nia
nicholas|Nicholas
nick|Nick
nickel ore|Minerai de nickel
nickolaus|Nickolaus
nicoleta|Nicoleta
nid|Nid
nieve|Nieve
nigel|Nigel
night beast|Bête nocturne
nikita|Nikita
nikkie|Nikkie
nikolai|Nikolai
niles|Niles
niloof|Niloof
nimloth|Nimloth
nimrodel|Nimrodel
ninja impling|Ninja impling
nipper|Nipper
nirrie|Nirrie
nisha|Nisha
nkuku|Nkuku
no crewmember|Pas de membre d'équipage
noah|Noah
noctillion lugosi|Noctillion Lugosi
noella|Noella
nolar|Nolar
nomad|Nomad
noodle|Noodle
noon|Noon
nora t. hagg|Nora T. Hagg
noranna tytanin|Noranna Tytanin
norman|Norman
not bob|Not Bob
noterazzo|Noterazzo
nova|Nova
novice|Novice
nuclear smoke devil|Nuclear smoke devil
nulodion|Nulodion
numpty|Numpty
nung|Nung
nurmof|Nurmof
nurse boubou|Nurse Boubou
nurse emma gentsy|Nurse Emma Gentsy
nurse inn'juree|Nurse Inn'Juree
nurse sarah|Nurse Sarah
nurse wooned|Nurse Wooned
nylocas|Nylocas
nylocas athanatos|Nylocas Athanatos
nylocas hagios|Nylocas Hagios
nylocas ischyros|Nylocas Ischyros
nylocas matomenos|Nylocas Matomenos
nylocas prinkipas|Nylocas Prinkipas
nylocas queen|Nylocas Queen
nylocas toxobolos|Nylocas Toxobolos
nylocas vasilias|Nylocas Vasilias
oaknock the engineer|Oaknock l'ingénieur
oarswoman olga|Rameuse Olga
oath lord d'rows|Seigneur du serment D'rows
oathbreaker b'ats|Briseur de serment B'ats
oathbreaker e'piws|Briseur de serment E'piws
oathbreaker m'als|Briseur de serment M'als
obelisk|Obélisque
obli|Obli
obor|Obor
observatory assistant|Assistant d'observatoire
observatory professor|Professeur d'observatoire
ocean man|Homme de l'océan
ocelot|Ocelot
ocelot kitten|Chaton ocelot
ocga|Ocga
ochre blamish snail|Escargot ocre blamish
ocuil|Ocuil
odd figure|Personnage étrange
odd mushroom|Champignon étrange
odd old man|Vieil homme étrange
odd stone|Pierre étrange
oddskull|Oddskull
odmar|Odmar
odovacar|Odovacar
odysseus|Odysseus
og|Og
ogre|Ogre Levele GWD
ogre boat|Bateau ogre
ogre chieftain|Chef ogre
ogre guard|Garde ogre
ogre merchant|Marchand ogre
ogre monodon|Monodon ogre
ogre shaman|Chaman ogre
ogre trader|Marchand ogre
ogress shaman|Chamane ogresse
ogress warrior|Guerrière ogresse Levele 1
oipuis|Oipuis
okina|Okina
olaf|Olaf
olaf hradson|Olaf Hradson
olaf the bard|Olaf le barde Levele Normal
olbertus|Olbertus Levele Libéré
old crone|Vieille sorcière
old dwarf|Vieil nain
old grog|Vieux Grog
old man|Vieil homme
old man ral|Vieil homme Ral
old man yarlo|Vieil homme Yarlo Levele Cinématique
oldak|Oldak
oli|Oli
olivia|Olivia
ollie the camel|Ollie le chameau
olmlet|Olmlet
omart|Omart
one eyed rosalee|Rosalee à un œil
oneiromancer|Oneiromancer
oobapohk|Oobapohk
oomlie bird|Oiseau Oomlie
oozing barrier|Barrière suintante
operator|Opérateur Levele 1
oracle|Oracle
orange salamander|Salamandre orange
orb of darkness|Orbe des ténèbres Levele Akkha
orb of lightning|Orbe de foudre
orc|Orc
orca|Orca
ordan|Ordan
oriana|Oriana
ork|Ork
orlando smith|Orlando Smith
ornate undead combat dummy|Mannequin de combat mort-vivant décoré
oronwen|Oronwen
oropher|Oropher
orophin|Orophin
orrvor quo maten|Orrvor quo Maten
orsaga|Orsaga
orsaga's chinchompa|Chinchompa d'Orsaga
oryx|Oryx
oscar|Oscar
osian|Osian
osman|Osman
osmumten|Osmumten
ospak|Ospak
osprey|Osprey
osten|Osten
osvald|Osvald
oswald|Oswald
oswallt|Oswallt
othainian|Othainian
other half-zombie|Autre demi-zombie
otherworldly being|Être d'un autre monde
otto godblessed|Otto Godblessed
ouditor|Ouditor
ouhai|Ouhai
outlaw|Hors-la-loi Levele 1
overcharged barrier|Barrière surchargée
overcharged catalytic guardian|Gardien catalytique surchargé
overcharged elemental guardian|Gardien élémentaire surchargé
overgrown cat|Chat sauvage Levele 1
overseer khougo|Surveillant Khougo
owl|Hibou Levele 1
oxi|Oxi
oziach|Oziach
padulah|Padulah
pagida|Pagida
painted goblin|Gobelin peint
painted one|Peint
paladin|Paladin
palm of resourcefulness|Paume de l'ingéniosité Levele 0 %
palmer|Palmer
palum|Palum
pandur hosidius|Pandur Hosidius Levele Seigneur
panning guide|Guide de paillage
paola|Paola
parasite|Parasite
parleying preston|Preston le négociateur
parrot|Perroquet
parrots|Perroquets
parroty pete|Parroty Pete
party gnome|Gnome de fête
party pete|Party Pete
passionate supporter|Supporter passionné
patchy|Patchy
patrick|Patrick
patrolman|Patrouilleur
patrolwoman|Patrouilleuse
patty seer|Patty Seer
patzi|Patzi
pauline polaris|Pauline Polaris
pavo|Pavo
paws|Paws
pay-dirt|Pay-dirt
peaceful barbarian spirit|Esprit barbare pacifique
peasant|Paysan Levele Heureux
