Hello?|Allô ?
Well, well, looks like someone is fresh off the boat and no mistake!|Eh bien, eh bien, on dirait que quelqu'un vient de débarquer, ça ne fait aucun doute !
A little while ago we had some real problem shipping 'rum' in the island. The Braindeath crew said it had something to do with zombies and the like.|Il y a quelque temps, nous avons eu de sérieux problèmes pour expédier du « rhum » sur l'île. L'équipage du Braindeath a dit que cela avait quelque chose à voir avec des zombies et autres créatures du genre.
All the pirates on the island got together and decided to make our own still, but of course things got a little out of hand, and now we have two.|Tous les pirates de l'île se sont réunis et ont décidé de fabriquer notre propre alambic, mais bien sûr, les choses ont un peu dérapé, et maintenant nous en avons deux.
Well we would do, if that scurvy, whelk-eating foppish dog wouldn't keep trying to burn our still to the ground!|Eh bien, nous le ferions, si ce chien galeux, mangeur de bulots et dandy ne cessait pas d'essayer de brûler notre alambic !
Neither of us can really corner the 'rum' market at the moment, but we are giving it our best shot.|Aucun de nous ne peut vraiment accaparer le marché du rhum pour le moment, mais nous faisons de notre mieux.
The code of the island says that we can't attack each other, but after consulting with our fearsome pirate lawyers, we have discovered that destroying each other's property is fine.|Le code de l'île stipule que nous ne pouvons pas nous attaquer les uns les autres, mais après avoir consulté nos redoutables avocats pirates, nous avons découvert que détruire les biens de l'autre était autorisé.
Hence, that sniveling, hat-wearing cur keeps trying to burn down my still.|C'est pourquoi ce pleurnichard à chapeau n'arrête pas d'essayer de brûler mon alambic.
Of course he claims I started this whole thing, but who would trust him anyway?|Bien sûr, il prétend que c'est moi qui ai commencé, mais qui pourrait le croire ?
It's pretty simple, except the sap tends so make people feel kind off ill if they get any on themselves.|C'est assez simple, sauf que la sève a tendance à rendre les gens malades si elle entre en contact avec leur peau.
Arr, that's where ye'd be wrong [lad/lass], 'cos new, improved Braindeath 'Rum' Classic is now 200% more disgustin' than any leadin' competitor!|Ah, c'est là que tu te trompes [mon gars/ma fille], car le nouveau Braindeath « Rum » Classic amélioré est désormais 200 % plus dégoûtant que n'importe quel concurrent de premier plan !
Legal disclaimer; the dangerous amount of disgustin' in new Braindeath 'Rum' Classic be too much for pregnant women, donkeys and anyone with more than seven letters in their last name.|Avertissement légal : le niveau dangereux de dégoûtant du nouveau Braindeath « Rum » Classic est trop élevé pour les femmes enceintes, les ânes et toute personne dont le nom de famille comporte plus de sept lettres.
Sorry, I don't take anyone that can't cook.|Désolé, je n'accepte personne qui ne sait pas cuisiner.
Aside from anything else, if you have less than 40 Cooking, then you don't have much of an idea of health and safety when it comes to food.|En plus de tout le reste, si vous avez moins de 40 en cuisine, vous n'avez pas vraiment la notion de santé et de sécurité en matière d'alimentation.
Oh yeah, Saradomin forbid that the 'rum' made from whatever is lying around gets a bit of hair in it.|Oh oui, Saradomin interdit que le « rhum » fabriqué à partir de tout ce qui traîne contienne des poils.
Are you ready to have your mettle tested?|Êtes-vous prêt à mettre votre courage à l'épreuve ?
You have defeated me in battle, and still you search for the source?|Vous m'avez vaincu au combat, et vous cherchez toujours la source ?
San Tojalon: Prepare yourself...|San Tojalon : Préparez-vous...
San Tojalon will test your mettle.|San Tojalon mettra votre courage à l'épreuve.
Prepare yourself...|Préparez-vous...
You have proved yourself an honourable foe.|Vous avez prouvé que vous étiez un adversaire honorable.
You have fought the good fight this day.|Vous vous êtes bien battu aujourd'hui.
Hey there, what's this all about?|Salut, qu'est-ce qui se passe ?
Our Lord Saradomin needs your help!|Notre seigneur Saradomin a besoin de votre aide !
Oh great, what is it this time?|Super, c'est quoi cette fois ?
You're needed at Castle Wars, our forces are weakening and we need you as reinforcements.|On a besoin de vous à Castle Wars, nos forces s'affaiblissent et on a besoin de vous en renfort.
Sure, I'll play some Castle Wars.|Bien sûr, je vais jouer à Castle Wars.
Praise Saradomin, I'll send you there right away!|Gloire à Saradomin, je vous envoie là-bas tout de suite !
Some items are stopping you from entering the Castle Wars waiting room. See the chat for details.|Certains objets vous empêchent d'entrer dans la salle d'attente de Castle Wars. Consultez le chat pour plus de détails.
Hmm, I'm alright actually, I don't want to play Castle Wars right now.|Hmm, ça va, en fait, je ne veux pas jouer à Castle Wars pour le moment.
I urge you to reconsider, before it's too late.|Je vous invite à reconsidérer votre décision avant qu'il ne soit trop tard.
Sorry, you can't play Castle Wars on this world. Try world 334 for the official world.|Désolé, vous ne pouvez pas jouer à Castle Wars dans ce monde. Essayez le monde 334 pour le monde officiel.
Fight for the greater good today!|Combattez pour le bien commun aujourd'hui !
Fight for Saradomin today!|Combattez pour Saradomin aujourd'hui !
The light of Saradomin is fading, he needs your help!|La lumière de Saradomin s'estompe, il a besoin de votre aide !
Zamorak is a false god who is a stain on this world, Saradomin will guide you forward.|Zamorak est un faux dieu qui souille ce monde, Saradomin vous guidera.
For Saradomin!|Pour Saradomin !
Can you tell me how to use the loom?|Pouvez-vous m'expliquer comment utiliser le métier à tisser ?
Well, it's actually my loom, but I don't mind you using it, if you like. You can use it to weave sacks and baskets in which you can put vegetables and fruit.|En fait, c'est mon métier à tisser, mais vous pouvez l'utiliser si vous le souhaitez. Vous pouvez l'utiliser pour tisser des sacs et des paniers dans lesquels vous pouvez mettre des légumes et des fruits.
What do I need to weave sacks?|De quoi ai-je besoin pour tisser des sacs ?
Well, the best sacks are made with jute fibres; you can grow jute yourself in a hops patch. I'd say about 4 jute fibres should be enough to weave a sack.|Eh bien, les meilleurs sacs sont fabriqués à partir de fibres de jute ; vous pouvez cultiver vous-même du jute dans un champ de houblon. Je dirais qu'environ 4 fibres de jute devraient suffire pour tisser un sac.
Thank you, that's very kind.|Merci, c'est très gentil.
What do I need to weave baskets?|De quoi ai-je besoin pour tisser des paniers ?
Well, the best baskets are made with young branches cut from a willow tree. You'll need a very young willow tree; otherwise, the branches will have grown too thick to be able to weave. I suggest growing your own.|Eh bien, les meilleurs paniers sont fabriqués à partir de jeunes branches coupées dans un saule. Il vous faudra un saule très jeune, sinon les branches seront trop épaisses pour pouvoir être tissées. Je vous suggère de cultiver le vôtre.
You can cut the branches with a standard pair of secateurs. You will probably need about 6 willow branches to weave a complete basket.|Vous pouvez couper les branches avec un sécateur standard. Il vous faudra probablement environ 6 branches de saule pour tisser un panier complet.
I've come about the bounty.|Je viens pour la prime.
Oh thank Saradomin! It's about time someone responded, something needs to be done!|Oh, merci Saradomin ! Il était temps que quelqu'un réagisse, il faut faire quelque chose !
Can you explain what happened?|Pouvez-vous m'expliquer ce qui s'est passé ?
Of course. I was making my monthly delivery to The Sheared Ram in Lumbridge, heading east near the Draynor Village crossroads.|Bien sûr. Je faisais ma livraison mensuelle au Sheared Ram à Lumbridge, en direction de l'est, près du carrefour du village de Draynor.
Suddenly, out of the trees came a hulking monster! It chased me for a short distance, but luckily Rosie managed to spook it enough to give me a headstart.|Soudain, un monstre gigantesque est sorti des arbres ! Il m'a poursuivi sur une courte distance, mais heureusement, Rosie a réussi à l'effrayer suffisamment pour me donner une longueur d'avance.
Sounds like it must have given you quite the scare!|On dirait que ça a dû vous faire très peur !
It certainly did. I even lost my cart full of farm produce!|En effet. J'ai même perdu ma charrette remplie de produits agricoles !
What did this monster look like?|À quoi ressemblait ce monstre ?
I didn't get a very good look at it I'm afraid. It was getting dark and as soon as I saw it charging at me, I ran.|Je n'ai pas pu le voir très bien, malheureusement. Il commençait à faire nuit et dès que je l'ai vu foncer sur moi, je me suis enfuie.
I can still hear the sound, though. A horrible grunting... squealing...|Mais j'entends encore le bruit. Un grognement horrible... un couinement...
Is there anything else you wanted?|Y a-t-il autre chose que vous souhaitiez ?
Any tips on finding this thing?|Des conseils pour trouver cette chose ?
Tips...? You're supposed to be the professional monster slayer!|Des conseils... ? C'est toi qui es censé être le chasseur de monstres professionnel !
Although, I suppose a good place to start would be checking the area I was attacked. See if you can find the remains of my cart.|Mais je suppose qu'un bon point de départ serait de vérifier la zone où j'ai été attaquée. Vois si tu peux trouver les restes de ma charrette.
Ok, yes that could work.|D'accord, oui, ça pourrait marcher.
Whereabouts were you attacked again?|Où as-tu été attaquée, déjà ?
I remember being somewhere near the crossroads, north of Draynor Village.|Je me souviens que c'était près du carrefour, au nord du village de Draynor.
Sorry that I'm not much help. It happened so fast, the whole thing is a bit of a blur.|Désolée de ne pas pouvoir vous aider davantage. Tout s'est passé si vite que je ne me souviens plus très bien.
That's okay. Crossroads north of Draynor... At least I have somewhere to start.|Ce n'est pas grave. Le carrefour au nord de Draynor... Au moins, j'ai un point de départ.
You mentioned that Rosie spooked the monster. Who's that?|Vous avez dit que Rosie avait effrayé le monstre. Qui est-ce ?
Oh, that'll be our lady over there by the fire. She's such a good dog, always accompanies me on deliveries.|Oh, ce doit être notre dame là-bas, près du feu. C'est une chienne adorable, elle m'accompagne toujours dans mes livraisons.
You can pet her if you like. She's very friendly.|Vous pouvez la caresser si vous voulez. Elle est très gentille.
I think that'll be all for now.|Je pense que ce sera tout pour le moment.
Excellent! Best of luck to you, I'll be waiting right here with your reward.|Excellent ! Bonne chance, je vous attendrai ici avec votre récompense.
That monster certainly won't be troubling you from now on.|Ce monstre ne vous causera certainement plus de problèmes à partir de maintenant.
Oh that's fantastic news! I'm so relie-|Oh, c'est une nouvelle fantastique ! Je suis tellement soulagée...
Wait, how do I know you're not just saying that to get the bounty?|Attendez, comment puis-je savoir que vous ne dites pas cela uniquement pour obtenir la prime ?
How about this as proof?|Que diriez-vous de ceci comme preuve ?
You pull the foot out of your backpack and show it to Sarah.|Vous sortez le pied de votre sac à dos et le montrez à Sarah.
Eugh! Yes, that certainly looks about right!|Beurk ! Oui, ça semble bien être ça !
Indeed, the smell is... something quite special.|En effet, l'odeur est... assez particulière.
I'll probably just give it to the dog.|Je vais probablement le donner au chien.
I'm glad you made it back. Some strange woman in a hood came asking about the job shortly after you left. I didn't really want her back in here.|Je suis contente que vous soyez revenu. Une femme étrange encapuchonnée est venue me poser des questions sur le travail peu après votre départ. Je ne voulais pas vraiment la revoir ici.
Anyway, thank you so much! Here's your reward.|Quoi qu'il en soit, merci beaucoup ! Voici ta récompense.
Sarah hands you a heavy pouch of 5,000 coins.|Sarah te tend une lourde bourse contenant 5 000 pièces.
Perhaps I should speak with Spria and tell her that the monster's been dealt with.|Je devrais peut-être parler à Spria et lui dire que le monstre a été éliminé.
I'd like a Wooden small table built.|Je voudrais une petite table en bois.
I'd like a Oak small table built.|Je voudrais une petite table en chêne.
I'd like a Teak small table built.|Je voudrais une petite table en teck.
I'd like a Mahogany small table built.|Je voudrais une petite table en acajou.
I can't find my husband, we got seperated as we disembarked the ship.|Je ne trouve pas mon mari, nous avons été séparés en débarquant du bateau.
I'm not sure - what can you offer?|Je ne sais pas trop... Que pouvez-vous m'offrir ?
Not much, I'm dead.|Pas grand-chose, je suis mort.
You're the one who stopped Necrovarus. Our people are forever grateful to you, even if we don't always show it.|C'est vous qui avez arrêté Necrovarus. Notre peuple vous en sera éternellement reconnaissant, même si nous ne le montrons pas toujours.
Are you Sarah Corvo?|Êtes-vous Sarah Corvo ?
That's me. Not many people interested in visiting me these days. What brings you here?|C'est moi. Peu de gens viennent me rendre visite ces derniers temps. Qu'est-ce qui vous amène ici ?
I'm on the hunt for the piece of a key. It was once in the possession of your ancestor, Tristan Corvo.|Je suis à la recherche d'un morceau de clé. Il appartenait autrefois à votre ancêtre, Tristan Corvo.
I see. I'm afraid I can't help you. The key is gone.|Je vois. Je crains de ne pas pouvoir vous aider. La clé a disparu.
Gone?|Disparu ?
Yes gone. When my father passed the key down to me he told me that I must keep it safe no matter what. When the vampyres came to Port Phasmatys I buried it out in the swamps to stop them from getting it.|Oui, disparu. Lorsque mon père m'a transmis la clé, il m'a dit que je devais la garder en sécurité quoi qu'il arrive. Lorsque les vampires sont arrivés à Port Phasmatys, je l'ai enterrée dans les marais pour les empêcher de la récupérer.
But how do I get it back?|Mais comment puis-je la récupérer ?
You don't. The key is gone and it's safer that way. I never liked looking after that lump of metal anyway.|Vous ne pouvez pas. La clé a disparu et c'est mieux ainsi. Je n'ai jamais aimé m'occuper de ce morceau de métal de toute façon.
Metal?|De métal ?
Yes, a strange red metal.|Oui, d'un étrange métal rouge.
Hmm. I think I might know just the scientist to help me out with this. Time for me to visit Draynor Manor.|Hmm. Je pense connaître le scientifique qui pourrait m'aider. Il est temps pour moi de me rendre au manoir Draynor.
Oh nothing. I'd best be off, thank you for your time.|Oh, rien. Je ferais mieux d'y aller, merci de m'avoir accordé votre temps.
You again. You're not still after that key are you?|Encore vous. Vous n'êtes pas toujours à la recherche de cette clé, n'est-ce pas ?
Nope, just stopping by to say hello.|Non, je passe juste pour dire bonjour.
Well that was great. See you later.|Eh bien, c'était super. À plus tard.
This gnome lady appears to be singing ... [ sic ] to her toads.|Cette dame gnome semble chanter... [sic] à ses crapauds.
La La La, toadies in their holeys! .. [ sic ] Oh hello, I didn't notice you.|La La La, crapauds dans leurs trous ! ... [sic] Oh bonjour, je ne vous avais pas remarqué.
Hello, What [ sic ] do you do here?|Bonjour, que [sic] faites-vous ici ?
I look after the toads and worms. They are very useful in gnome cooking, don't you know.|Je m'occupe des crapauds et des vers. Ils sont très utiles dans la cuisine des gnomes, vous savez.
Does singing to the toads help them grow?|Chanter pour les crapauds les aide-t-il à grandir ?
Don't be silly, I just sing to pass the time while looking after them!|Ne soyez pas ridicule, je chante juste pour passer le temps pendant que je m'occupe d'eux !
You hand over your delivery of [a/some] [ordered gnome food/drink item] to Sarble|Vous remettez votre livraison de [un/plusieurs] [produit alimentaire/boisson commandé(s) par les gnomes] à Sarble.
Thank you kindly, you might want to grab some toads and worms while you are here.|Merci beaucoup, vous pouvez prendre quelques crapauds et vers pendant que vous êtes ici.
Welcome to my store, human! Are you interested in buying anything?|Bienvenue dans ma boutique, humain ! Vous souhaitez acheter quelque chose ?
Yes, I'm looking for some armour. Yes, I'm looking for some armour.|Oui, je cherche une armure. Oui, je cherche une armure.
Yes, I'm looking for some armour.|Oui, je cherche une armure.
Say, would you be interested in doing a little task for me?|Dites, seriez-vous intéressé par une petite tâche pour moi ?
What do you need me to do?|Que voulez-vous que je fasse ?
A special client has a little request for me. I will need [3/4/5] [item] in the next [15/20/25] minutes.|Un client spécial a une petite requête à me faire. J'aurai besoin de [3/4/5] [objet] dans les prochaines [15/20/25] minutes.
Right, I'll get you [3/4/5] [item] in the next [15/20/25] minutes. I can do that, yes.|D'accord, je vous trouverai [3/4/5] [objet] dans les [15/20/25] prochaines minutes. Je peux le faire, oui.
I don't have time for that, no.|Je n'ai pas le temps pour ça, non.
That's really unfortunate. I hope I can find someone else.|C'est vraiment dommage. J'espère que je trouverai quelqu'un d'autre.
I'm running a low on raw supplies at the moment. In the next [X] minutes, I need [X] [item]. Sounds agreeable?|Je suis à court de matières premières en ce moment. Dans les prochaines [X] minutes, j'ai besoin de [X] [objet]. Ça vous convient ?
Right, I'll get you [X] [item] in the next [X] minutes. I can do that, yes.|D'accord, je vous apporterai [X] [objet] dans les prochaines [X] minutes. Je peux le faire, oui.
How are you doing getting me my [X] [item]?|Comment ça se passe pour mon [X] [objet] ?
I don't want to look for them anymore.|Je ne veux plus les chercher.
Next time, can you decide on that in advance?|La prochaine fois, vous pouvez vous décider à l'avance ?
You've put me in a spot of trouble now. I suppose I'll find a way out though.|Tu m'as mis dans une situation délicate. Mais je trouverai bien une solution.
I'm still looking for them.|Je suis toujours en train de les chercher.
Good, good. Hurry back!|Bien, bien. Dépêche-toi de revenir !
Great, now the [X] minutes are up and you didn't get me [X] [item].|Super, les [X] minutes sont écoulées et tu ne m'as pas apporté [X] [objet].
Er, yeah, sorry...|Euh, oui, désolé...
I've brought you your [X] [item]!|Je t'ai apporté ton [X] [objet] !
Excellent, much appreciated!|Excellent, merci beaucoup !
Armour item request: Do you want me to pay you in gold or do you want me to show you how to fight properly in these?|Demande d'armure : voulez-vous que je vous paie en or ou que je vous montre comment vous battre correctement avec ça ?
Do you want me to pay you in gold or do you want me to show you how to fight properly in these?|Voulez-vous que je vous paie en or ou que je vous montre comment vous battre correctement avec ça ?
What's with the bucket on your head?|C'est quoi ce seau sur ta tête ?
If I can't see my enemies, they can't see me.|Si je ne vois pas mes ennemis, ils ne peuvent pas me voir.
Are you sure about that?|Tu en es sûr ?
Don't doubt me stranger. This pub will be mine.|Ne doute pas de moi, étranger. Ce pub sera à moi.
I hope you can flex your way to victory.|J'espère que tu sauras te frayer un chemin vers la victoire.
I think I heard Santa saying we aren't allowed things on your back in the games, by the way.|Au fait, je crois avoir entendu le Père Noël dire qu'on n'avait pas le droit de porter quoi que ce soit sur le dos pendant les jeux.
Does it look like I play by the rules?|Est-ce que j'ai l'air de respecter les règles ?
Uh...|Euh...
I make my own rules.|Je fais mes propres règles.
See: Transcript:Wanted! and Transcript:The Slug Menace|Voir : Transcription : Recherché ! et Transcription : La menace des limaces
Hello there. Do you want me to make some planks for you? I can make planks from wood, oak, teak and mahogany logs. Or would you like to buy some other housing supplies?|Bonjour. Voulez-vous que je vous fabrique des planches ? Je peux fabriquer des planches à partir de bois, de chêne, de teck et d'acajou. Ou souhaitez-vous acheter d'autres matériaux de construction ?
Yes, please make me some planks.|Oui, fabriquez-moi des planches, s'il vous plaît.
You'll need to bring me some more logs.|Vous devrez m'apporter d'autres bûches.
Those planks cost [X] coins. You don't have enough money for all of them.|Ces planches coûtent [X] pièces. Vous n'avez pas assez d'argent pour toutes les acheter.
Can I buy some housing supplies? Can I buy some housing supplies? Sawmill operator: Of course!|Puis-je acheter des matériaux de construction ? Puis-je acheter des matériaux de construction ? Opérateur de scierie : Bien sûr !
Can I buy some housing supplies?|Puis-je acheter des matériaux de construction ?
Well come back when you want some. You'll struggle to find quality planks anywhere but here!|Revenez quand vous en aurez besoin. Vous aurez du mal à trouver des planches de qualité ailleurs qu'ici !
Nilsal. Do you want me to make some planks for you? I can make planks from wood, oak, teak and mahogany logs. Or would you like to buy some other housing supplies?|Nilsal. Voulez-vous que je vous fabrique des planches ? Je peux fabriquer des planches à partir de bois, de chêne, de teck et d'acajou. Ou préférez-vous acheter d'autres matériaux de construction ?
Do you want me to make some planks for you? I can make planks from wood, oak, teak and mahogany logs. Or would you like to buy some other housing supplies?|Voulez-vous que je vous fabrique des planches ? Je peux fabriquer des planches à partir de bois, de chêne, de teck et d'acajou. Ou souhaitez-vous acheter d'autres matériaux de construction ?
I can make planks from wood, oak, teak and mahogany. I don't make planks from other woods as they're no good for making furniture.|Je peux fabriquer des planches à partir de bois, de chêne, de teck et d'acajou. Je ne fabrique pas de planches à partir d'autres essences de bois, car elles ne conviennent pas à la fabrication de meubles.
Wood and oak are all over the place, but teak and mahogany can only be found in a few places like Karamja and Etceteria.|Le bois et le chêne sont omniprésents, mais le teck et l'acajou ne se trouvent que dans quelques endroits, comme Karamja et Etceteria.
Well come back when you want some. You can't get good quality planks anywhere but here!|Revenez quand vous en aurez besoin. Vous ne trouverez des planches de bonne qualité qu'ici !
Hello stranger. Would you like me to tan any hides for you?|Bonjour, étranger. Souhaitez-vous que je tanne des peaux pour vous ?
Soft leather - 2 gp per hide Hard leather - 5 gp per hide Snakeskins - 25 gp per hide Dragon leather - 45 gp per hide.|Cuir souple - 2 po par peau Cuir dur - 5 po par peau Peaux de serpent - 25 po par peau Cuir de dragon - 45 po par peau.
Why are you so expensive? The tanner in Al-Kharid is almost half the price!|Pourquoi êtes-vous si cher ? Le tanneur d'Al-Kharid pratique des prix presque deux fois moins élevés !
Hey, I charge more because I'm worth it! I deal in bulk, and I work extremely quickly. You'll see for yourself!|Hé, je demande plus parce que je le vaux bien ! Je traite en gros et je travaille extrêmement vite. Vous verrez par vous-même !
You got a lot of hides you want tanning quickly? I'm your guy!|Vous avez beaucoup de peaux à tanner rapidement ? Je suis votre homme !
So you got hides for me to tan, or are you just gonna bust my chops about prices all day?|Alors, vous avez des peaux à me tanner, ou vous allez juste me casser les pieds avec vos prix toute la journée ?
Okay; you change your mind, you come see me. I'm your guy!|D'accord, si vous changez d'avis, venez me voir. Je suis votre homme !
No thanks, I haven't any hides.|Non merci, je n'ai pas de peaux.
Fair enough. I can't tan what you don't bring me.|C'est compréhensible. Je ne peux pas tanner ce que vous ne m'apportez pas.
The... the noise! Her voice in my head for so long, and now... silence! It's so loud! Please, we must leave!|Le... le bruit ! Sa voix dans ma tête depuis si longtemps, et maintenant... le silence ! C'est tellement bruyant ! S'il vous plaît, nous devons partir !
<missing>|<manquant>
We... opened the way. Now... go. Stop her! Please!|Nous... avons ouvert la voie. Maintenant... partez. Arrêtez-la ! S'il vous plaît !
'Ello matey! D'ya wanna buy some exciting new toys?|Salut, mon pote ! Tu veux acheter de nouveaux jouets super cool ?
No, toys are for kids.|Non, les jouets sont pour les enfants.
Let's have a look then. Scavvo's Rune Store opens|Allons voir quand même. Ouverture de la boutique de runes de Scavvo
Scavvo's Rune Store opens|Ouverture de la boutique de runes de Scavvo
Ooh, goody goody, toys! Ooh goody goody, toys! Scavvo's Rune Store opens|Ooh, youpi, des jouets ! Ooh youpi, des jouets ! Ouverture de la boutique de runes de Scavvo
Ooh goody goody, toys!|Ooh youpi, des jouets !
Why do you sell most rune armour but not platebodies?|Pourquoi vendez-vous principalement des armures runiques et pas d'armures de plates ?
Oh, you have to complete a special quest in order to wear rune platemail. You should talk to the Guildmaster downstairs about that.|Oh, tu dois accomplir une quête spéciale pour pouvoir porter une armure de plates runiques. Tu devrais en parler au maître de guilde en bas.
*sniff* They won't let me take an arrowhead as a souvenir.|*sniff* Ils ne me laissent pas prendre une pointe de flèche en souvenir.
I wonder what they're doing behind that rope.|Je me demande ce qu'ils font derrière cette corde.
Can you find my teacher? I need the toilet!|Tu peux trouver mon professeur ? J'ai besoin d'aller aux toilettes !
*cough* It's so dusty in here.|*tousse* Il y a tellement de poussière ici.
Teacher! Can we go to the Natural History exhibit now?|Professeur ! On peut aller voir l'exposition d'histoire naturelle maintenant ?
Maz...Zar...Za-mor-ak is bestest!|Maz... Zar... Za-mor-ak est le meilleur !
I wanna be an archaeologist when I grow up!|Je veux être archéologue quand je serai grand !
Yaaay! A day off school.|Youpi ! Un jour sans école.
Sada...Sram...Sa-ra-do-min is bestest!|Sada... Sram... Sa-ra-do-min est le meilleur !
Our orders are to guard this door and notify General Khazard of anyone or anything emerging from it. He has requested that our observations stretch to the Shadow Realm, which is where I come in.|Nous avons pour ordre de garder cette porte et d'avertir le général Khazard si quelqu'un ou quelque chose en sort. Il a demandé que nos observations s'étendent au Royaume des Ombres, et c'est là que j'interviens.
Now, I ask you not to disturb me further. Mine is a critical task.|Maintenant, je vous demande de ne plus me déranger. Ma tâche est cruciale.
Scrubfoot, are you okay?|Scrubfoot, ça va ?
Ugh... no. Scrubfoot can't move.|Euh... non. Scrubfoot ne peut pas bouger.
I'm sorry. Sledding is dangerous business.|Je suis désolé. La luge est une activité dangereuse.
That it is. It also dangerous business going back to generals without glowy flying things.|C'est vrai. C'est aussi dangereux de retourner voir les généraux sans objets volants lumineux.
Over by water there is crack in the wall.|Près de l'eau, il y a une fissure dans le mur.
Thanks. Will you make it out by yourself?|Merci. Tu vas y arriver tout seul ?
Scrubfoot needs a minute before moving.|Scrubfoot a besoin d'une minute avant de bouger.
What were you doing here?|Que faisais-tu ici ?
General Wartface send Scrubfoot to get green glowy flying things.|Général Wartface envoyer Scrubfoot chercher choses volantes vertes brillantes.
I guess you won't be able to get the green ones now.|Je suppose que tu ne pourras pas attraper les vertes maintenant.
It not matter. If Scrubfoot get green fireflies, General Bentnoze kick Scrubfoot. If not get green fireflies, General Wartface kick Scrubfoot.|Ce n'est pas grave. Si Scrubfoot attrape des lucioles vertes, le général Bentnoze donne un coup de pied à Scrubfoot. S'il n'attrape pas de lucioles vertes, le général Wartface donne un coup de pied à Scrubfoot.
Seems like you can't win with those generals. What if you got them both green and red?|On dirait que tu ne peux pas gagner avec ces généraux. Et si tu en attrapais des vertes et des rouges ?
Scrubfoot never tried that.|Scrubfoot n'a jamais essayé ça.
Scrubfoot busy. Must scrub generals' feet.|Scrubfoot est occupé. Il doit frotter les pieds des généraux.
The player is transported to Karamja.|Le joueur est transporté à Karamja.
Hello there. Looking to travel somewhere? We can take you to Port Sarim or Musa Point. It only costs 30 coins.|Bonjour. Vous souhaitez vous rendre quelque part ? Nous pouvons vous emmener à Port Sarim ou à Musa Point. Cela ne coûte que 30 pièces.
Hello there. Do you want to travel somewhere? We can take you to Musa Point for 15 coins, or if you prefer, for 30 coins we can drop you off in Port Sarim.|Bonjour. Vous souhaitez vous rendre quelque part ? Nous pouvons vous emmener à Musa Point pour 15 pièces, ou si vous préférez, pour 30 pièces, nous pouvons vous déposer à Port Sarim.
I'd like to go to Port Sarim.|Je voudrais aller à Port Sarim.
Nothing at all, you say? Yes, why not. Where would you like to go?|Rien du tout, dites-vous ? Oui, pourquoi pas. Où souhaitez-vous aller ?
You board the ship and sail to Port Sarim.|Vous montez à bord du navire et naviguez jusqu'à Port Sarim.
You board the ship and sail to Musa Point.|Vous montez à bord du navire et naviguez jusqu'à Musa Point.
Do you know where the ship to Kourend is?|Savez-vous où se trouve le navire pour Kourend ?
Veos' ship? I think it's on the northern dock.|Le navire de Veos ? Je pense qu'il est sur le quai nord.
Welcome, adventurer. Are you looking for a sublime staff? I'm afraid a little issue with some ents means I don't have any battlestaffs for sale, but other than that, I'm sure I'll have what you need.|Bienvenue, aventurier. Vous cherchez un bâton sublime ? J'ai bien peur qu'un petit problème avec certains ents m'empêche de vendre des bâtons de combat, mais à part ça, je suis sûr d'avoir ce qu'il vous faut.
What was the issue? Unfortunately, we had someone new handling the delivery and they accidently left the cart in the way of the ents. I think the ents must have then considered both the cart and its contents to be a gift for them. Player: They stole them? Sebamo: I wouldn't say stole. I just think they misunderstood why the cart had been left there. Player: Could you not ask for them back? Sebamo: I'm sure the courier tried, but I suspect the ents didn't really understand him. Sebamo: Anyway, would you like to buy a staff? Select an option I'll have a look. Player: I'll have a look. ( Sebamo's Sublime Staffs interface opens.) No thanks. Player: No thanks. Sebamo: Tetamo, iknami! I hope you change your mind soon!|Quel était le problème ? Malheureusement, nous avions un nouveau livreur qui a accidentellement laissé le chariot sur le chemin des Ents. Je pense que les Ents ont alors considéré le chariot et son contenu comme un cadeau qui leur était destiné. Joueur : Ils les ont volés ? Sebamo : Je ne dirais pas qu'ils les ont volés. Je pense simplement qu'ils ont mal compris pourquoi le chariot avait été laissé là. Joueur : Vous ne pourriez pas les demander en retour ? Sebamo : Je suis sûr que le coursier a essayé, mais je pense que les Ents ne l'ont pas vraiment compris. Sebamo : Quoi qu'il en soit, souhaitez-vous acheter un bâton ? Sélectionnez une option. Je vais jeter un œil. Joueur : Je vais jeter un œil. (L'interface Sublime Staffs de Sebamo s'ouvre.) Non merci. Joueur : Non merci. Sebamo : Tetamo, iknami ! J'espère que vous changerez bientôt d'avis !
They stole them?|Ils les ont volés ?
I wouldn't say stole. I just think they misunderstood why the cart had been left there.|Je ne dirais pas qu'ils les ont volés. Je pense simplement qu'ils ont mal compris pourquoi la charrette avait été laissée là.
Could you not ask for them back?|Tu ne pourrais pas leur demander de les rendre ?
I'm sure the courier tried, but I suspect the ents didn't really understand him.|Je suis sûr que le coursier a essayé, mais je pense que les Ents ne l'ont pas vraiment compris.
Anyway, would you like to buy a staff?|Quoi qu'il en soit, voudrais-tu acheter un bâton ?
No thanks. No thanks. Sebamo: Tetamo, iknami! I hope you change your mind soon!|Non merci. Non merci. Sebamo : Tetamo, iknami ! J'espère que tu changeras bientôt d'avis !
Tetamo, iknami! I hope you change your mind soon!|Tetamo, iknami ! J'espère que tu changeras bientôt d'avis !
I'm a security guard. Long ago I used to wander the world, teaching people how to protect themselves from security threats, and giving out books of advice.|Je suis agent de sécurité. Il y a longtemps, je parcourais le monde pour enseigner aux gens comment se protéger des menaces pour leur sécurité et leur distribuer des livres de conseils.
